element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
H,1,"=""366.773""","=""0.003""","=""366.76881""","=""0.00019""","=""1000""","=""5.8304e+02""",AAA,"=""82259.158""","=""[109516.5267]""","=""2""","=""""","=""""","=""26""","=""""","=""""",,"=""T8637""","=""L7400c29""",
H,1,"=""366.945""","=""0.003""","=""366.94705""","=""0.00019""","=""1300""","=""7.0963e+02""",AAA,"=""82259.158""","=""[109503.2875]""","=""2""","=""""","=""""","=""25""","=""""","=""""",,"=""T8637""","=""L7400c29""",
H,1,"=""367.132""","=""0.010""","=""367.14823""","=""0.00019""","=""1200bl""","=""8.7069e+02""",AAA,"=""82259.158""","=""[109488.3592]""","=""2""","=""""","=""""","=""24""","=""""","=""""",,"=""T8637""","=""L7400c29""",
H,1,"=""367.381""","=""0.003""","=""367.37649""","=""0.00019""","=""1300""","=""1.0777e+03""",AAA,"=""82259.158""","=""[109471.4416]""","=""2""","=""""","=""""","=""23""","=""""","=""""",,"=""T8637""","=""L7400c29""",
H,1,"=""367.6376""","=""0.0006""","=""367.63692""","=""0.00019""","=""1400""","=""1.3467e+03""",AAA,"=""82259.158""","=""[109452.1650]""","=""2""","=""""","=""""","=""22""","=""""","=""""",,"=""T8637""","=""L7436c29""",
H,1,"=""367.9370""","=""0.0006""","=""367.93589""","=""0.00019""","=""1700""","=""1.7005e+03""",AAA,"=""82259.158""","=""[109430.0696]""","=""2""","=""""","=""""","=""21""","=""""","=""""",,"=""T8637""","=""L7436c29""",
H,1,"=""368.2823""","=""0.0006""","=""368.28143""","=""0.00019""","=""1700""","=""2.1719e+03""",AAA,"=""82259.158""","=""[109404.5776]""","=""2""","=""""","=""""","=""20""","=""""","=""""",,"=""T8637""","=""L7436c29""",
Li,2,"=""368.432""","=""""","=""368.4602""","=""0.0019""","=""""","=""3.0587e+07""",AAA,"=""[554753.58]""","=""[581885.83]""","=""1s.3s""","=""3S""","=""1""","=""1s.4p""","=""3P*""","=""2""",,"=""T8636c73""","=""L3501""",
Li,2,"=""""","=""""","=""368.4700""","=""0.0019""","=""""","=""3.0580e+07""",AAA,"=""[554753.58]""","=""[581885.11]""","=""1s.3s""","=""3S""","=""1""","=""1s.4p""","=""3P*""","=""1""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""368.4754""","=""0.0019""","=""""","=""3.0580e+07""",AAA,"=""[554753.58]""","=""[581884.71]""","=""1s.3s""","=""3S""","=""1""","=""1s.4p""","=""3P*""","=""0""",,"=""T8636c73""","=""""",
H,1,"=""368.6831""","=""0.0006""","=""368.68376""","=""0.00019""","=""2000""","=""2.8093e+03""",AAA,"=""82259.158""","=""[109374.9555]""","=""2""","=""""","=""""","=""19""","=""""","=""""",,"=""T8637""","=""L7436c29""",
H,1,"=""369.1551""","=""0.0006""","=""369.15611""","=""0.00019""","=""2300""","=""3.6851e+03""",AAA,"=""82259.158""","=""[109340.2604]""","=""2""","=""""","=""""","=""18""","=""""","=""""",,"=""T8637""","=""L7436c29""",
H,1,"=""369.7157""","=""0.0006""","=""369.71581""","=""0.00019""","=""2300""","=""4.9101e+03""",AAA,"=""82259.158""","=""[109299.2642]""","=""2""","=""""","=""""","=""17""","=""""","=""""",,"=""T8637""","=""L7436c29""",
H,1,"=""370.3859""","=""0.0006""","=""370.38593""","=""0.00019""","=""2800""","=""6.6583e+03""",AAA,"=""82259.158""","=""[109250.3433]""","=""2""","=""""","=""""","=""16""","=""""","=""""",,"=""T8637""","=""L7436c29""",
